Channel,Order_Status,Product,Order_Type,New_Delivery_Type,Created_Month,Completed_Month,Order_Manager,Project_Order,On_Time,CT_Ex_Delayed_Days,LT_Tgt,SLT_Status,On_Time_Tgt,Cycle_Time_Tgt,Parked_Tgt,Backlog_Tgt,Age_Status,Project,Country
Business,In Progress, IP Connect GLOBAL,New,International,01/04/2019,N/A,DJEMAIM,TRUE,N/A,0,100,N/A,0.95,0.94,0.09,0.03,BAU,BAU,France
Business,In Progress, Internet Connect,New,International,01/04/2019,N/A,DJEMAIM,TRUE,N/A,0,100,N/A,0.95,0.94,0.09,0.03,BAU,BAU,France
Business,Completed, One Voice Global SIP,New,International,01/04/2019,01/06/2019,DJEMAIM_X,TRUE,On-Time,40,100,Pass,0.95,0.94,0.09,0.03,Completed,BAU,France
Business,Cancelled, One Voice Global SIP,New,International,01/04/2019,January,COATESL,FALSE,N/A,0,100,,0.95,0.94,0.09,0.03,BAU,BAU,France
Business,Completed,Additional DDI Block,Cancellation,Cancellation Domestic,01/04/2019,01/04/2019,CORCORC3,FALSE,On-Time,9,15,Fail,0.95,0.94,0.09,0.03,Completed,BAU,France
Carrier,Completed, Etherway,Cancellation,Cancellation International,01/04/2019,01/05/2019,CORCORC3,FALSE,On-Time,35,40,Fail,0.95,0.94,0.09,0.03,Completed,BAU,France
Carrier,Completed, Etherway,Cancellation,Cancellation International,01/04/2019,01/05/2019,CORCORC3,FALSE,On-Time,35,40,Fail,0.95,0.94,0.09,0.03,Completed,BAU,France
Carrier,Completed, Etherway,Cancellation,Cancellation International 3rd Party,01/04/2019,01/05/2019,CORCORC3,FALSE,On-Time,35,40,Fail,0.95,0.94,0.09,0.03,Completed,BAU,France
Business,Completed, Business Voice,Cancellation,Cancellation Domestic,01/04/2019,01/04/2019,GIFFNEK,FALSE,On-Time,2,15,Fail,0.95,0.94,0.09,0.03,Completed,BAU,France
Business,Completed, IP Connect GLOBAL,SD Upgrade/Downgrade,International,01/04/2019,01/04/2019,COATESL,FALSE,On-Time,16,100,Pass,0.95,0.94,0.09,0.03,Completed,BAU,France
Business,Completed, IP Connect GLOBAL,New,International,01/04/2019,01/08/2019,UGWUANE,TRUE,On-Time,85,100,Pass,0.95,0.94,0.09,0.03,Completed,BAU,France
Business,Completed, IP Connect GLOBAL,New,International,01/04/2019,01/08/2019,UGWUANE,TRUE,On-Time,83,100,Pass,0.95,0.94,0.09,0.03,Completed,BAU,France
Business,Completed, Etherflow/ IP Connect Ireland,SD Upgrade/Downgrade,Standard Domestic,01/04/2019,01/06/2019,AHMEDSS,FALSE,On-Time,36,25,Fail,0.95,0.94,0.09,0.03,Completed,BAU,France
Business,Cancelled, DSL/ IP Connect Ireland -Bitstream,Cancellation,Cancellation Domestic 3rd Party,01/04/2019,01/04/2019,DRIVERI,FALSE,On-Time,0,15,Pass,0.95,0.94,0.09,0.03,Backlog,BAU,France
Business,Cancelled, DSL/ IP Connect Ireland -Bitstream,Cancellation,Cancellation Domestic 3rd Party,01/04/2019,01/04/2019,DRIVERI,FALSE,On-Time,0,15,Pass,0.95,0.94,0.09,0.03,Backlog,BAU,France
Business,Cancelled, DSL/ IP Connect Ireland -Bitstream,Cancellation,Cancellation Domestic 3rd Party,01/04/2019,January,DRIVERI,FALSE,N/A,0,15,,0.95,0.94,0.09,0.03,Backlog,BAU,France
Business,Cancelled, DSL/ IP Connect Ireland -Bitstream,Cancellation,Cancellation Domestic 3rd Party,01/04/2019,January,DRIVERI,FALSE,N/A,0,15,,0.95,0.94,0.09,0.03,Backlog,BAU,France
Business,Cancelled, DSL/ IP Connect Ireland -Bitstream,Cancellation,Cancellation Domestic 3rd Party,01/04/2019,01/04/2019,DRIVERI,FALSE,On-Time,0,15,Pass,0.95,0.94,0.09,0.03,Backlog,BAU,France
Business,Cancelled, xDSL / MPLS,Cancellation,Cancellation International 3rd Party,01/04/2019,01/04/2019,DRIVERI,FALSE,On-Time,0,40,Pass,0.95,0.94,0.09,0.03,Backlog,BAU,France
Business,Completed, One Voice Global SIP,New,International,01/04/2019,01/08/2019,COATESL,TRUE,On-Time,43,100,Pass,0.95,0.94,0.09,0.03,Completed,BAU,France
Business,Completed, One Voice Global SIP,New,International,01/04/2019,01/05/2019,COATESL,FALSE,On-Time,17,100,Pass,0.95,0.94,0.09,0.03,Completed,BAU,France
Business,Cancelled, One Voice Global SIP,New,International,01/04/2019,January,COATESL,FALSE,N/A,0,100,,0.95,0.94,0.09,0.03,BAU,BAU,France
Business,Completed, One Voice Global SIP,New,International,01/04/2019,01/06/2019,COATESL,FALSE,On-Time,47,100,Pass,0.95,0.94,0.09,0.03,Completed,BAU,France
Business,Completed, Etherflow/IP Connect Global,New,3rd Party Standard,01/04/2019,01/08/2019,GIFFNEK,TRUE,On-Time,81,50,Fail,0.95,0.94,0.09,0.03,Completed,BAU,France
Business,Completed, Etherflow,New,3rd Party Standard,01/04/2019,01/05/2019,AHMEDSS,FALSE,On-Time,32,50,Pass,0.95,0.94,0.09,0.03,Completed,BAU,France
Business,In Progress, MPLS,New,International,01/04/2019,N/A,BRADYA,TRUE,N/A,0,100,,0.95,0.94,0.09,0.03,BAU,BAU,France
Business,Completed, Internet Connect,New,International,01/04/2019,01/09/2019,RYANC9,TRUE,On-Time,112,100,Fail,0.95,0.94,0.09,0.03,Completed,BAU,France
Business,Cancelled, One Voice Global SIP,New,International,01/04/2019,January,COATESL,FALSE,N/A,0,100,,0.95,0.94,0.09,0.03,BAU,BAU,France
Business,Completed, One Voice Global SIP,New,International,01/04/2019,01/05/2019,COATESL,FALSE,On-Time,17,100,Pass,0.95,0.94,0.09,0.03,Completed,BAU,France
Business,Completed, One Voice Global SIP,New,International,01/04/2019,01/05/2019,COATESL,FALSE,On-Time,29,100,Pass,0.95,0.94,0.09,0.03,Completed,BAU,France
Business,Completed, One Voice Global SIP,New,Standard Global,01/04/2019,01/05/2019,COATESL,FALSE,On-Time,29,25,Fail,0.95,0.94,0.09,0.03,Completed,BAU,France
Carrier,Completed, Carrier Services Private Line National,Cancellation,Cancellation Domestic,01/04/2019,01/04/2019,COATESL,FALSE,On-Time,7,15,Fail,0.95,0.94,0.09,0.03,Completed,BAU,Geramany
Business,Completed, Etherflow/IP,Cancellation,Cancellation Domestic,01/04/2019,01/04/2019,COATESL,FALSE,On-Time,8,15,Fail,0.95,0.94,0.09,0.03,Completed,BAU,Geramany
Business,Cancelled, One Voice Global SIP,New,International,01/04/2019,January,COATESL,TRUE,N/A,0,100,,0.95,0.94,0.09,0.03,BAU,BAU,Geramany
Internal,Completed, Private Line National,New,Standard Domestic,01/04/2019,01/06/2019,ROWLEYN,FALSE,Late,42,25,Fail,0.95,0.94,0.09,0.03,Completed,BAU,Geramany
Internal,Completed, Private Line National,New,Standard Domestic,01/04/2019,01/06/2019,ROWLEYN,FALSE,Late,42,25,Fail,0.95,0.94,0.09,0.03,Completed,BAU,Geramany
Internal,In Progress, Private Line National,New,Standard Domestic,01/04/2019,N/A,MCDONNM6,FALSE,N/A,0,25,,0.95,0.94,0.09,0.03,BAU,BAU,Geramany
Internal,Completed, Private Line National,New,Standard Domestic,01/04/2019,01/06/2019,ROWLEYN,FALSE,Late,42,25,Fail,0.95,0.94,0.09,0.03,Completed,BAU,Geramany
