Order-ref,Channel,Order_Status,Product,Order_Type,New_Delivery_Type,Priority_Order,OCD,ODD,CHD,Parked_Status,Overall_Parked_Days,SRF_REF,Order_Manager,Circuit_Class_Type,Project_Order,On_Time,CT_Ex_Delayed_Days,LT_Tgt,SLT_Status,SLT_Exclusion,Per_Day_€,RFT_Exclusion,CHD_Period,CHD_Week,CHD_Month,CHD_FQ,CHD_FY,Order_In Backlog,Age_Status,Aged_Status,OCD_Period,OCD_Week,OCD_FQ,OCD_FY,ODD_Period,ODD_Week,ODD_FQ,ODD_FY,Group,Group_Manager,On_Time_Tgt,Cycle_Time_Tgt,Parked_Tgt,Backlog_Tgt
ref_877641158,Business,In Progress, One Voice Global SIP,New,International,P3,08/05/2019,15/11/2019,,,77.1439,,DJEMAIM,International,FALSE, ,,100,,,0.8219,FALSE,,,,,,BAU,BAU,BAU,P 02,10/05/2019,1,2019-2020,P 08,15/11/2019,3,2019-2020,,,0.95,0.94,0.09,0.03
ref_877665129,Carrier,Cease In Progress, Carrier Services Private Line National,Cancellation,Cancellation Domestic,P3,16/05/2019,04/10/2019,23/05/2019,,,,LYONSR3,Internal,FALSE,On-Time,,15,Pass,Yes,,FALSE,P 02,24/05/2019,,1,2019-2020,BAU ,BAU,BAU,P 02,17/05/2019,1,2019-2020,P 07,04/10/2019,3,2019-2020,,,0.95,0.94,0.09,0.03
ref_877666134,Business,In Progress, Internet Connect,New,International,P3,10/05/2019,29/10/2019,,,,,RYANC9,International,TRUE, ,,100,,,15.5589,FALSE,,,,,,BAU ,BAU,BAU,P 02,10/05/2019,1,2019-2020,P 07,01/11/2019,3,2019-2020,,,0.95,0.94,0.09,0.03
ref_877702767,Business,Cease In Progress, Internet Access International,Cancellation,Cancellation International 3rd Party,P3,09/05/2019,21/11/2019,09/05/2019,,,,GIFFNEK,Internal,FALSE,On-Time,,40,Pass,Yes,,FALSE,P 02,10/05/2019,,1,2019-2020,BAU ,BAU,BAU,P 02,10/05/2019,1,2019-2020,P 08,22/11/2019,3,2019-2020,,,0.95,0.94,0.09,0.03
ref_877740451,Carrier,In Progress, Etherflow/MPLS,New,3rd Party Standard,P3,13/05/2019,24/09/2019,,,0,,SMARTTEM,Domestic,FALSE, ,,50,,,16.7807,FALSE,,,,,,Backlog,Backlog,BAU,P 02,17/05/2019,1,2019-2020,P 06,27/09/2019,2,2019-2020,,,0.95,0.94,0.09,0.03
ref_877748081,Carrier,Parked, Etherflow,New,Non-Standard,P4,17/05/2019,14/08/2019,,Y,48,,HEJLOVS,Domestic,TRUE, ,,60,,,0,FALSE,,,,,,Backlog,Project Parked,Parked,P 02,17/05/2019,1,2019-2020,P 05,16/08/2019,2,2019-2020,,,0.95,0.94,0.09,0.03
ref_877767593,Carrier,Parked, Etherflow,New,Non-Standard,P4,13/05/2019,18/10/2019,,Y,43,,LYONSR3,Domestic,FALSE, ,,60,,,22.6658,FALSE,,,,,,BAU ,BAU Parked,Parked,P 02,17/05/2019,1,2019-2020,P 07,18/10/2019,3,2019-2020,,,0.95,0.94,0.09,0.03
ref_877790999,Business,In Progress, Internet Connect,New,International,P3,13/05/2019,01/01/2020,,,,,DJEMAIM,International,TRUE, ,,100,N/A,,25.3414,TRUE,,,,,,BAU ,BAU,BAU,P 02,17/05/2019,1,2019-2020,P 10,03/01/2020,4,2019-2020,,,0.95,0.94,0.09,0.03
ref_877832865,Carrier,Cease In Progress, Etherway,Cancellation,Cancellation Domestic 3rd Party,P1,20/05/2019,26/08/2019,08/07/2019,,,,DUFFYM,Internal,FALSE,On-Time,,15,Pass,Yes,,FALSE,P 04,12/07/2019,,2,2019-2020,Backlog,Backlog,BAU,P 02,24/05/2019,1,2019-2020,P 05,30/08/2019,2,2019-2020,,,0.95,0.94,0.09,0.03
ref_877840340,Business,In Progress, MPLS,New,International,P3,14/05/2019,25/10/2019,,,19.9752,,BRADYA,International,TRUE, ,,100,,,11.0137,FALSE,,,,,,BAU ,BAU,BAU,P 02,17/05/2019,1,2019-2020,P 07,25/10/2019,3,2019-2020,,,0.95,0.94,0.09,0.03
ref_877840713,Business,Parked, MPLS,New,International,P4,14/05/2019,02/09/2019,,Y,23,,BRADYA,International,TRUE, ,,100,,,11.0137,FALSE,,,,,,Backlog,Project Parked,Parked,P 02,17/05/2019,1,2019-2020,P 06,06/09/2019,2,2019-2020,,,0.95,0.94,0.09,0.03
